Age,Workclass,fnlwgt,Education,Education-num,Marital-status,Occupation,Relationship,Race,Sex,Capital-gain,Capital-loss,Hours-per-week,Native-country,Income
32-36,Self-emp-not-inc,205607,Bachelors,13,Divorced,Prof-specialty,Not-in-family,Black,Female,0,0,40,Un***********,>50K
27-31,Private,115464,HS-grad,9,Never-married,Other-service,Own-child,Black,Female,0,0,40,Un***********,<=50K
17-21,Private,127709,HS-grad,9,Never-married,Farming-fishing,Own-child,Black,Male,0,0,30,Un***********,<=50K
32-36,Private,164197,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,44,Un***********,>50K
47-51,Federal-gov,160647,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,Un***********,<=50K
57-61,Self-emp-inc,154537,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,20,Un***********,>50K
27-31,Federal-gov,155970,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,Un***********,>50K
22-26,Private,216984,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,Un***********,<=50K
32-36,Private,185556,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,12,Un***********,>50K
42-46,Private,244172,HS-grad,9,Separated,Transport-moving,Unmarried,White,Male,0,0,40,***********,<=50K
22-26,Private,29444,12th,8,Never-married,Farming-fishing,Not-in-family,Amer-Indian-Eskimo,Male,0,0,50,Un***********,<=50K
47-51,Federal-gov,140516,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Un***********,>50K
52-56,Self-emp-not-inc,175029,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,Un***********,<=50K
42-46,?,260953,Masters,14,Married-civ-spouse,?,Husband,White,Male,0,0,40,Un***********,<=50K
22-26,Private,476558,7th-8th,4,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,***********,<=50K
