Age,Workclass,fnlwgt,Education,Education-num,Marital-status,Occupation,Relationship,Race,Sex,Capital-gain,Capital-loss,Hours-per-week,Native-country,Income
72-76,?,281907,11th,7,Married-civ-spouse,?,Husband,White,Male,0,0,3,Un***********,<=50K
17-21,Private,356272,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,25,Un***********,<=50K
27-31,Federal-gov,339002,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Un***********,>50K
37-41,Private,188069,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Un***********,<=50K
77-81,?,91901,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,25,Un***********,<=50K
32-36,Private,103408,Some-college,10,Divorced,Prof-specialty,Not-in-family,Black,Male,0,0,40,***********,>50K
47-51,Private,193047,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,Un***********,>50K
22-26,Private,211049,Some-college,10,Never-married,Tech-support,Not-in-family,White,Female,4101,0,40,Un***********,<=50K
22-26,Private,243368,Preschool,1,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,36,***********,<=50K
17-21,?,126154,Some-college,10,Never-married,?,Own-child,White,Male,0,0,40,Un***********,<=50K
47-51,Self-emp-not-inc,103257,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Un***********,<=50K
32-36,Private,119098,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Un***********,<=50K
47-51,Private,277946,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,Un***********,>50K
27-31,Private,51961,Some-college,10,Never-married,Tech-support,Own-child,Black,Male,0,0,24,Un***********,<=50K
42-46,Private,484861,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,4064,0,38,Un***********,<=50K
17-21,Private,37783,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,25,Un***********,<=50K
