antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Workclass_?'}),frozenset({'Occupation_?'}),0.057069891072080055,0.057382602803981865,0.057069891072080055,1.0,17.42688465031789,1.0,0.053795072180624376,inf,0.9996683617068318,0.994550408719346,1.0,0.997275204359673
frozenset({'Occupation_?'}),frozenset({'Workclass_?'}),0.057382602803981865,0.057069891072080055,0.057069891072080055,0.994550408719346,17.42688465031789,1.0,0.053795072180624376,173.02767498827075,1.0,0.994550408719346,0.9942205777193285,0.997275204359673
frozenset({'Workclass_?'}),frozenset({'Native-country_Un***********'}),0.057069891072080055,0.8909678428102361,0.050607181946109345,0.8867579908675799,0.9952749675797751,1.0,-0.00024025579179697693,0.9628242913128342,-0.005009577600083448,0.0563911957721122,-0.03861110383544209,0.47177911242706283
frozenset({'Workclass_?'}),frozenset({'Income_<=50K'}),0.057069891072080055,0.7574399332881638,0.05107624954396206,0.8949771689497718,1.1815817065051448,1.0,0.007849235057562964,2.309593678690963,0.1629779426694401,0.06690333151283452,0.5670234079585885,0.4812049541163914
frozenset({'Workclass_Local-gov'}),frozenset({'Race_White'}),0.06368895606400167,0.8543284515557409,0.05284828269140564,0.8297872340425532,0.9712742593688669,1.0,-0.0015630045239545254,0.8558203471100222,-0.030619868671188325,0.06108433734939758,-0.16846953145815127,0.44582333883679637
frozenset({'Workclass_Local-gov'}),frozenset({'Native-country_Un***********'}),0.06368895606400167,0.8909678428102361,0.05915463595142544,0.9288052373158755,1.0424677442749168,1.0,0.0024098241562459655,1.5314631734010489,0.043508731490869895,0.06605750203701548,0.347029678957793,0.4975994598395698
frozenset({'Education_Bachelors'}),frozenset({'Workclass_Private'}),0.1639130661385313,0.6967217386772294,0.10720800542033669,0.6540540540540541,0.9387593607970628,1.0,-0.006993791011616526,0.8766637241361339,-0.07237776190123459,0.1422938572219148,-0.1406882393649878,0.4039644896242742
frozenset({'Education_HS-grad'}),frozenset({'Workclass_Private'}),0.32334393078647,0.6967217386772294,0.23974566112471987,0.7414571244358479,1.06420839665998,1.0,0.01446491547644077,1.1730288860638833,0.08916556433329206,0.30724018167245526,0.14750607433418328,0.5427812252939264
frozenset({'Education_Some-college'}),frozenset({'Workclass_Private'}),0.22353676968780944,0.6967217386772294,0.15573044248710063,0.6966658894847284,0.9999198400316789,1.0,-1.2484348081348573e-05,0.9998158822546989,-0.00010323491873958508,0.20369486672574816,-0.0001841516508879385,0.4600923702360805
frozenset({'Marital-status_Divorced'}),frozenset({'Workclass_Private'}),0.13717621306092667,0.6967217386772294,0.09709699275551155,0.7078267477203648,1.0159389443829023,1.0,0.0015233430865446568,1.0380083014324217,0.018183179962755317,0.13178184904859588,0.03661656788290748,0.42359470240596336
frozenset({'Marital-status_Married-civ-spouse'}),frozenset({'Workclass_Private'}),0.46124980455516756,0.6967217386772294,0.2988481784541617,0.647909604519774,0.9299402739318449,1.0,-0.02251458734004691,0.8613647665938765,-0.12268252791185434,0.34785246299441885,-0.16094834474636496,0.5384221870594083
frozenset({'Marital-status_Never-married'}),frozenset({'Workclass_Private'}),0.3244384218481263,0.6967217386772294,0.24943972481367593,0.7688353413654619,1.1035041662761158,1.0,0.023396423449952936,1.311957732268414,0.13884137715098027,0.32322550145201595,0.23778032218235395,0.5634272457874587
frozenset({'Occupation_Adm-clerical'}),frozenset({'Workclass_Private'}),0.11507791733986554,0.6967217386772294,0.08620420076093188,0.7490942028985507,1.0751698437323827,1.0,0.006026914108546277,1.208733575813497,0.07900626657882305,0.11880476942967966,0.17268782797980597,0.436411254650951
frozenset({'Occupation_Craft-repair'}),frozenset({'Workclass_Private'}),0.12909782665346328,0.6967217386772294,0.10100588940428415,0.7823980621719823,1.122970647732931,1.0,0.011060627158831646,1.3937295979526954,0.12573717004518897,0.1393542820162508,0.2825007078353365,0.4636855660949678
frozenset({'Occupation_Exec-managerial'}),frozenset({'Workclass_Private'}),0.12498045551675614,0.6967217386772294,0.0830770834419138,0.6647206005004169,0.9540689827798847,1.0,-0.003999516826392671,0.90455381921891,-0.05214929830121452,0.11247530341518486,-0.10551741505387548,0.3919802882813275
frozenset({'Occupation_Machine-op-inspct'}),frozenset({'Workclass_Private'}),0.0623859905144108,0.6967217386772294,0.05978005941522906,0.9582289055973267,1.3753394682597175,1.0,0.016314383634927626,7.260481576067128,0.29106517085681133,0.08548218810552986,0.8622680893101746,0.5220154103091361
